t3_um,radius_um,pressure_pa,capacitance_fF
2.000,300.0,0.0,230.405654
2.000,300.0,100.0,234.169270
2.000,300.0,200.0,237.888686
2.000,300.0,300.0,241.400038
2.000,300.0,400.0,244.652675
2.000,300.0,500.0,247.658201
2.000,300.0,600.0,250.448641
2.000,300.0,700.0,253.057807
2.000,300.0,800.0,255.515367
2.000,300.0,900.0,257.845825
2.000,300.0,1000.0,260.069040
2.000,300.0,1100.0,262.201076
2.000,300.0,1200.0,264.254989
2.000,300.0,1300.0,266.241483
2.000,300.0,1400.0,268.169417
2.000,300.0,1500.0,270.046191
2.000,300.0,1600.0,271.878050
2.000,300.0,1700.0,273.670308
2.000,300.0,1800.0,275.427530
2.000,300.0,1900.0,277.153667
2.000,300.0,2000.0,278.852164
2.000,300.0,2100.0,280.526048
2.000,300.0,2200.0,282.177996
2.000,300.0,2300.0,283.810390
2.000,300.0,2400.0,285.425363
2.000,300.0,2500.0,287.024836
2.000,300.0,2600.0,288.610545
2.000,300.0,2700.0,290.184075
2.000,300.0,2800.0,291.746871
2.000,300.0,2900.0,293.300262
2.000,300.0,3000.0,294.845475
2.000,300.0,3100.0,296.383649
2.000,300.0,3200.0,297.915842
2.000,300.0,3300.0,299.443046
2.000,300.0,3400.0,300.966190
2.000,300.0,3500.0,302.486152
2.000,300.0,3600.0,304.003762
2.000,300.0,3700.0,305.519808
2.000,300.0,3800.0,307.035043
2.000,300.0,3900.0,308.550186
2.000,300.0,4000.0,310.065928
2.000,300.0,4100.0,311.582936
2.000,300.0,4200.0,313.101855
2.000,300.0,4300.0,314.623311
2.000,300.0,4400.0,316.147912
2.000,300.0,4500.0,317.676253
2.000,300.0,4600.0,319.208918
2.000,300.0,4700.0,320.746480
2.000,300.0,4800.0,322.289504
2.000,300.0,4900.0,323.838548
2.000,300.0,5000.0,325.394166
2.000,300.0,5100.0,326.956910
2.000,300.0,5200.0,328.527327
2.000,300.0,5300.0,330.105966
2.000,300.0,5400.0,331.693377
2.000,300.0,5500.0,333.290111
2.000,300.0,5600.0,334.896725
2.000,300.0,5700.0,336.513777
2.000,300.0,5800.0,338.141836
2.000,300.0,5900.0,339.781473
2.000,300.0,6000.0,341.433272
2.000,300.0,6100.0,343.097825
2.000,300.0,6200.0,344.775736
2.000,300.0,6300.0,346.467620
2.000,300.0,6400.0,348.174108
2.000,300.0,6500.0,349.895845
2.000,300.0,6600.0,351.633492
2.000,300.0,6700.0,353.387730
2.000,300.0,6800.0,355.159258
2.000,300.0,6900.0,356.948797
2.000,300.0,7000.0,358.757092
2.000,300.0,7100.0,360.584912
2.000,300.0,7200.0,362.433053
2.000,300.0,7300.0,364.302340
2.000,300.0,7400.0,366.193629
2.000,300.0,7500.0,368.107809
2.000,300.0,7600.0,370.045806
2.000,300.0,7700.0,372.008583
2.000,300.0,7800.0,373.997145
2.000,300.0,7900.0,376.012542
2.000,300.0,8000.0,378.055872
2.000,300.0,8100.0,380.128282
2.000,300.0,8200.0,382.230977
2.000,300.0,8300.0,384.365219
2.000,300.0,8400.0,386.532337
2.000,300.0,8500.0,388.733726
2.000,300.0,8600.0,390.970857
2.000,300.0,8700.0,393.245281
2.000,300.0,8800.0,395.558637
2.000,300.0,8900.0,397.912656
2.000,300.0,9000.0,400.309173
2.000,300.0,9100.0,402.750133
2.000,300.0,9200.0,405.237600
2.000,300.0,9300.0,407.773773
2.000,300.0,9400.0,410.360990
2.000,300.0,9500.0,413.001746
2.000,300.0,9600.0,415.698708
2.000,300.0,9700.0,418.454730
2.000,300.0,9800.0,421.272871
2.000,300.0,9900.0,424.156416
2.000,300.0,10000.0,427.108902
2.000,300.0,10100.0,430.134140
2.000,300.0,10200.0,433.236250
2.000,300.0,10300.0,436.419691
2.000,300.0,10400.0,439.689301
2.000,300.0,10500.0,443.050346
2.000,300.0,10600.0,446.508564
2.000,300.0,10700.0,450.070233
2.000,300.0,10800.0,453.742233
2.000,300.0,10900.0,457.532133
2.000,300.0,11000.0,461.448282
2.000,300.0,11100.0,465.499920
2.000,300.0,11200.0,469.618685
2.000,300.0,11300.0,473.692153
2.000,300.0,11400.0,477.720172
2.000,300.0,11500.0,481.703662
2.000,300.0,11600.0,485.643517
2.000,300.0,11700.0,489.540604
2.000,300.0,11800.0,493.395765
2.000,300.0,11900.0,497.209820
2.000,300.0,12000.0,500.983564
2.000,300.0,12100.0,504.717771
2.000,300.0,12200.0,508.413192
2.000,300.0,12300.0,512.070561
2.000,300.0,12400.0,515.690588
2.000,300.0,12500.0,519.273966
2.000,300.0,12600.0,522.821370
2.000,300.0,12700.0,526.333455
2.000,300.0,12800.0,529.810861
2.000,300.0,12900.0,533.254211
2.000,300.0,13000.0,536.664111
2.000,300.0,13100.0,540.041152
2.000,300.0,13200.0,543.385909
2.000,300.0,13300.0,546.698944
2.000,300.0,13400.0,549.980805
2.000,300.0,13500.0,553.232024
2.000,300.0,13600.0,556.453123
2.000,300.0,13700.0,559.644610
2.000,300.0,13800.0,562.806979
2.000,300.0,13900.0,565.940715
2.000,300.0,14000.0,569.046289
2.000,350.0,0.0,313.607696
2.000,350.0,100.0,323.061231
2.000,350.0,200.0,331.731095
2.000,350.0,300.0,339.242244
2.000,350.0,400.0,345.835815
2.000,350.0,500.0,351.766197
2.000,350.0,600.0,357.213501
2.000,350.0,700.0,362.299982
2.000,350.0,800.0,367.110304
2.000,350.0,900.0,371.705009
2.000,350.0,1000.0,376.128804
2.000,350.0,1100.0,380.415683
2.000,350.0,1200.0,384.592184
2.000,350.0,1300.0,388.679513
2.000,350.0,1400.0,392.694972
2.000,350.0,1500.0,396.652952
2.000,350.0,1600.0,400.565631
2.000,350.0,1700.0,404.443487
2.000,350.0,1800.0,408.295671
2.000,350.0,1900.0,412.130292
2.000,350.0,2000.0,415.954637
2.000,350.0,2100.0,419.775340
2.000,350.0,2200.0,423.598519
2.000,350.0,2300.0,427.429884
2.000,350.0,2400.0,431.274829
2.000,350.0,2500.0,435.138506
2.000,350.0,2600.0,439.025888
2.000,350.0,2700.0,442.941828
2.000,350.0,2800.0,446.891104
2.000,350.0,2900.0,450.878468
2.000,350.0,3000.0,454.908683
2.000,350.0,3100.0,458.986566
2.000,350.0,3200.0,463.117022
2.000,350.0,3300.0,467.305083
2.000,350.0,3400.0,471.555947
2.000,350.0,3500.0,475.875015
2.000,350.0,3600.0,480.267934
2.000,350.0,3700.0,484.740638
2.000,350.0,3800.0,489.299395
2.000,350.0,3900.0,493.950862
2.000,350.0,4000.0,498.702140
2.000,350.0,4100.0,503.560837
2.000,350.0,4200.0,508.535143
2.000,350.0,4300.0,513.633908
2.000,350.0,4400.0,518.866741
2.000,350.0,4500.0,524.244117
2.000,350.0,4600.0,529.777502
2.000,350.0,4700.0,535.479504
2.000,350.0,4800.0,541.364046
2.000,350.0,4900.0,547.446573
2.000,350.0,5000.0,553.744304
2.000,350.0,5100.0,560.276524
2.000,350.0,5200.0,567.064952
2.000,350.0,5300.0,574.134181
2.000,350.0,5400.0,581.512228
2.000,350.0,5500.0,589.231211
2.000,350.0,5600.0,597.328213
2.000,350.0,5700.0,605.846374
2.000,350.0,5800.0,614.836298
2.000,350.0,5900.0,624.357904
2.000,350.0,6000.0,634.482530
2.000,350.0,6100.0,644.802952
2.000,350.0,6200.0,654.911068
2.000,350.0,6300.0,664.814744
2.000,350.0,6400.0,674.521428
2.000,350.0,6500.0,684.038181
2.000,350.0,6600.0,693.371700
2.000,350.0,6700.0,702.528348
2.000,350.0,6800.0,711.514169
2.000,350.0,6900.0,720.334916
2.000,350.0,7000.0,728.996061
2.000,350.0,7100.0,737.502821
2.000,350.0,7200.0,745.860167
2.000,350.0,7300.0,754.072840
2.000,350.0,7400.0,762.145368
2.000,350.0,7500.0,770.082076
2.000,350.0,7600.0,777.887096
2.000,350.0,7700.0,785.564383
2.000,350.0,7800.0,793.117719
2.000,350.0,7900.0,800.550729
2.000,350.0,8000.0,807.866882
2.000,350.0,8100.0,815.069507
2.000,350.0,8200.0,822.161796
2.000,350.0,8300.0,829.146812
2.000,350.0,8400.0,836.027498
2.000,350.0,8500.0,842.806677
2.000,350.0,8600.0,849.487067
2.000,350.0,8700.0,856.071280
2.000,350.0,8800.0,862.561827
2.000,350.0,8900.0,868.961128
2.000,350.0,9000.0,875.271511
2.000,350.0,9100.0,881.495220
2.000,350.0,9200.0,887.634417
2.000,350.0,9300.0,893.691187
2.000,350.0,9400.0,899.667540
2.000,350.0,9500.0,905.565417
2.000,350.0,9600.0,911.386692
2.000,350.0,9700.0,917.133173
2.000,350.0,9800.0,922.806607
2.000,350.0,9900.0,928.408683
2.000,350.0,10000.0,933.941035
2.000,350.0,10100.0,939.405240
2.000,350.0,10200.0,944.802827
2.000,350.0,10300.0,950.135274
2.000,350.0,10400.0,955.404011
2.000,350.0,10500.0,960.610425
2.000,350.0,10600.0,965.755858
2.000,350.0,10700.0,970.841611
2.000,350.0,10800.0,975.868945
2.000,350.0,10900.0,980.839082
2.000,350.0,11000.0,985.753208
2.000,350.0,11100.0,990.612474
2.000,350.0,11200.0,995.417995
2.000,350.0,11300.0,1000.170856
2.000,350.0,11400.0,1004.872108
2.000,350.0,11500.0,1009.522774
2.000,350.0,11600.0,1014.123845
2.000,350.0,11700.0,1018.676287
2.000,350.0,11800.0,1023.181036
2.000,350.0,11900.0,1027.639006
2.000,350.0,12000.0,1032.051082
2.000,350.0,12100.0,1036.418125
2.000,350.0,12200.0,1040.740976
2.000,350.0,12300.0,1045.020450
2.000,350.0,12400.0,1049.257343
2.000,350.0,12500.0,1053.452427
2.000,350.0,12600.0,1057.606455
2.000,350.0,12700.0,1061.720163
2.000,350.0,12800.0,1065.794263
2.000,350.0,12900.0,1069.829454
2.000,350.0,13000.0,1073.826414
2.000,350.0,13100.0,1077.785804
2.000,350.0,13200.0,1081.708270
2.000,350.0,13300.0,1085.594441
2.000,350.0,13400.0,1089.444931
2.000,350.0,13500.0,1093.260338
2.000,350.0,13600.0,1097.041248
2.000,350.0,13700.0,1100.788230
2.000,350.0,13800.0,1104.501840
2.000,350.0,13900.0,1108.182623
2.000,350.0,14000.0,1111.831109
2.000,400.0,0.0,409.610052
2.000,400.0,100.0,430.114943
2.000,400.0,200.0,446.763339
2.000,400.0,300.0,460.317475
2.000,400.0,400.0,472.066534
2.000,400.0,500.0,482.701327
2.000,400.0,600.0,492.604887
2.000,400.0,700.0,502.009847
2.000,400.0,800.0,511.069202
2.000,400.0,900.0,519.890404
2.000,400.0,1000.0,528.553211
2.000,400.0,1100.0,537.119749
2.000,400.0,1200.0,545.640560
2.000,400.0,1300.0,554.158429
2.000,400.0,1400.0,562.710950
2.000,400.0,1500.0,571.332317
2.000,400.0,1600.0,580.054650
2.000,400.0,1700.0,588.909030
2.000,400.0,1800.0,597.926350
2.000,400.0,1900.0,607.138076
2.000,400.0,2000.0,616.576960
2.000,400.0,2100.0,626.277757
2.000,400.0,2200.0,636.277995
2.000,400.0,2300.0,646.618831
2.000,400.0,2400.0,657.346054
2.000,400.0,2500.0,668.511282
2.000,400.0,2600.0,680.173452
2.000,400.0,2700.0,692.400694
2.000,400.0,2800.0,705.272750
2.000,400.0,2900.0,718.884162
2.000,400.0,3000.0,733.348548
2.000,400.0,3100.0,748.804468
2.000,400.0,3200.0,765.423659
2.000,400.0,3300.0,783.422907
2.000,400.0,3400.0,803.081669
2.000,400.0,3500.0,824.769172
2.000,400.0,3600.0,847.695887
2.000,400.0,3700.0,869.868917
2.000,400.0,3800.0,891.296216
2.000,400.0,3900.0,912.022478
2.000,400.0,4000.0,932.088608
2.000,400.0,4100.0,951.532143
2.000,400.0,4200.0,970.387599
2.000,400.0,4300.0,988.686784
2.000,400.0,4400.0,1006.459071
2.000,400.0,4500.0,1023.731634
2.000,400.0,4600.0,1040.529660
2.000,400.0,4700.0,1056.876533
2.000,400.0,4800.0,1072.794004
2.000,400.0,4900.0,1088.302331
2.000,400.0,5000.0,1103.420417
2.000,400.0,5100.0,1118.165920
2.000,400.0,5200.0,1132.555363
2.000,400.0,5300.0,1146.604224
2.000,400.0,5400.0,1160.327026
2.000,400.0,5500.0,1173.737405
2.000,400.0,5600.0,1186.848189
2.000,400.0,5700.0,1199.671450
2.000,400.0,5800.0,1212.218571
2.000,400.0,5900.0,1224.500288
2.000,400.0,6000.0,1236.526742
2.000,400.0,6100.0,1248.307522
2.000,400.0,6200.0,1259.851701
2.000,400.0,6300.0,1271.167873
2.000,400.0,6400.0,1282.264186
2.000,400.0,6500.0,1293.148371
2.000,400.0,6600.0,1303.827772
2.000,400.0,6700.0,1314.309367
2.000,400.0,6800.0,1324.599794
2.000,400.0,6900.0,1334.705374
2.000,400.0,7000.0,1344.632125
2.000,400.0,7100.0,1354.385788
2.000,400.0,7200.0,1363.971838
2.000,400.0,7300.0,1373.395501
2.000,400.0,7400.0,1382.661771
2.000,400.0,7500.0,1391.775421
2.000,400.0,7600.0,1400.741016
2.000,400.0,7700.0,1409.562927
2.000,400.0,7800.0,1418.245336
2.000,400.0,7900.0,1426.792255
2.000,400.0,8000.0,1435.207527
2.000,400.0,8100.0,1443.494839
2.000,400.0,8200.0,1451.657730
2.000,400.0,8300.0,1459.699599
2.000,400.0,8400.0,1467.623711
2.000,400.0,8500.0,1475.433205
2.000,400.0,8600.0,1483.131098
2.000,400.0,8700.0,1490.720295
2.000,400.0,8800.0,1498.203590
2.000,400.0,8900.0,1505.583677
