t3_um,radius_um,pressure_pa,capacitance_fF
2.0,300.0,0.0,228.58
2.0,300.0,100.0,235.97
2.0,300.0,200.0,241.91
2.0,300.0,300.0,246.7
2.0,300.0,400.0,250.81
2.0,300.0,500.0,254.47
2.0,300.0,600.0,257.82
2.0,300.0,700.0,260.94
2.0,300.0,800.0,263.88
2.0,300.0,900.0,266.67
2.0,300.0,1000.0,269.35
2.0,300.0,1100.0,271.92
2.0,300.0,1200.0,274.42
2.0,300.0,1300.0,276.85
2.0,300.0,1400.0,279.21
2.0,300.0,1500.0,281.52
2.0,300.0,1600.0,283.78
2.0,300.0,1700.0,286.0
2.0,300.0,1800.0,288.19
2.0,300.0,1900.0,290.34
2.0,300.0,2000.0,292.47
2.0,300.0,2100.0,294.57
2.0,300.0,2200.0,296.64
2.0,300.0,2300.0,298.7
2.0,300.0,2400.0,300.73
2.0,300.0,2500.0,302.75
2.0,300.0,2600.0,304.76
2.0,300.0,2700.0,306.75
2.0,300.0,2800.0,308.74
2.0,300.0,2900.0,310.71
2.0,300.0,3000.0,312.67
2.0,300.0,3100.0,314.63
2.0,300.0,3200.0,316.57
2.0,300.0,3300.0,318.52
2.0,300.0,3400.0,320.46
2.0,300.0,3500.0,322.39
2.0,300.0,3600.0,324.32
2.0,300.0,3700.0,326.25
2.0,300.0,3800.0,328.18
2.0,300.0,3900.0,330.11
2.0,300.0,4000.0,332.04
2.0,300.0,4100.0,333.97
2.0,300.0,4200.0,335.9
2.0,300.0,4300.0,337.84
2.0,300.0,4400.0,339.77
2.0,300.0,4500.0,341.71
2.0,300.0,4600.0,343.65
2.0,300.0,4700.0,345.6
2.0,300.0,4800.0,347.55
2.0,300.0,4900.0,349.51
2.0,300.0,5000.0,351.47
2.0,300.0,5100.0,353.44
2.0,300.0,5200.0,355.42
2.0,300.0,5300.0,357.41
2.0,300.0,5400.0,359.4
2.0,300.0,5500.0,361.4
2.0,300.0,5600.0,363.41
2.0,300.0,5700.0,365.43
2.0,300.0,5800.0,367.46
2.0,300.0,5900.0,369.5
2.0,300.0,6000.0,371.55
2.0,300.0,6100.0,373.61
2.0,300.0,6200.0,375.69
2.0,300.0,6300.0,377.77
2.0,300.0,6400.0,379.87
2.0,300.0,6500.0,381.98
2.0,300.0,6600.0,384.11
2.0,300.0,6700.0,386.25
2.0,300.0,6800.0,388.41
2.0,300.0,6900.0,390.58
2.0,300.0,7000.0,392.77
2.0,300.0,7100.0,394.97
2.0,300.0,7200.0,397.19
2.0,300.0,7300.0,399.43
2.0,300.0,7400.0,401.68
2.0,300.0,7500.0,403.96
2.0,300.0,7600.0,406.25
2.0,300.0,7700.0,408.57
2.0,300.0,7800.0,410.9
2.0,300.0,7900.0,413.26
2.0,300.0,8000.0,415.64
2.0,300.0,8100.0,418.04
2.0,300.0,8200.0,420.46
2.0,300.0,8300.0,422.91
2.0,300.0,8400.0,425.39
2.0,300.0,8500.0,427.88
2.0,300.0,8600.0,430.41
2.0,300.0,8700.0,432.96
2.0,300.0,8800.0,435.54
2.0,300.0,8900.0,438.15
2.0,300.0,9000.0,440.79
2.0,300.0,9100.0,443.46
2.0,300.0,9200.0,446.16
2.0,300.0,9300.0,448.89
2.0,300.0,9400.0,451.66
2.0,300.0,9500.0,454.47
2.0,300.0,9600.0,457.3
2.0,300.0,9700.0,460.18
2.0,300.0,9800.0,463.09
2.0,300.0,9900.0,466.05
2.0,300.0,10000.0,469.04
2.0,300.0,10100.0,472.08
2.0,300.0,10200.0,475.16
2.0,300.0,10300.0,478.28
2.0,300.0,10400.0,481.46
2.0,300.0,10500.0,484.68
2.0,300.0,10600.0,487.95
2.0,300.0,10700.0,491.27
2.0,300.0,10800.0,494.65
2.0,300.0,10900.0,498.08
2.0,300.0,11000.0,501.57
